Unnamed: 0,1,2,3,4,5,6,7
period,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31
사랑할 땐 누구나 최악이 된다,80.29593,91.74474,75.60018635864003,61.647754961465395,71.00662,80.78153,74.77719
period,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-02
악은 존재하지 않는다,87.74213,77.94498,81.44287,75.60018635864003,59.730659326863254,69.71884,56.91189
period,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19
랜드 오브 배드,58.20297,72.54139,86.93986,75.60018635864003,50.80061007756518,50.1873,53.7619
period,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21
더 와일드: 야수들의 전쟁,66.65169,76.53398,76.14266,75.60018635864003,48.60188904763468,45.65865,48.22786
period,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,70.49266,86.89727,75.60018635864003,70.95200061344951,59.38155,66.09014,53.77358
period,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07
애프터 양,77.78618,57.33974,72.3165,50.574736965484334,91.71449075599527,86.02853,50.57831
period,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16
지오디 마스터피스 더 무비,76.17915,91.73674,78.95795,75.60018635864003,69.74847929922396,62.44972,56.83729
period,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
너와 나,82.90574,86.4316,100.0,63.684223147418145,72.93945348759603,88.92852,76.78693
period,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04
오토라는 남자,81.20409,85.07683,88.31389,75.60018635864003,51.54527057707038,55.70573,52.58902
period,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09
씬,67.98013,65.36023,68.74427,75.60018635864003,54.920273636302795,65.52574,59.79294
period,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
TAR 타르,100.0,93.1536,89.41078,72.68640483370544,65.26565255777537,63.81322,69.29775
period,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21
플레인,81.73211,80.82175,83.15227,75.60018635864003,37.072436089874834,44.50446,39.26685
period,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16
롱디,70.8271,61.55484,63.46383,75.60018635864003,59.42505222936354,55.42065,47.3812
period,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
골드핑거,100.0,75.37542,85.9123,61.11186475842835,32.64323669061966,44.7642,35.94495
period,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,100.0,65.66339,74.20147,60.11942151895187,56.01875018408904,51.07493,48.09582
period,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19
메이 디셈버,95.54231,100.0,90.56725,72.67524068040707,61.80004286269416,58.38876,52.77161
period,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05
극장판 파워 디지몬 더 비기닝,82.07052,85.1122,73.95417,75.60018635864003,50.60127547869786,37.82156,33.66174
period,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26
썸머 필름을 타고!,59.09422,90.6501,85.40297,75.60018635864003,83.98198785758314,80.61845,50.8522
period,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14
네가 떨어뜨린 푸른 하늘,80.06823,85.34741,84.38106,75.60018635864003,62.84574329594085,63.00488,58.9985
period,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27
바튼 아카데미,87.42448,81.83359,90.59353,75.60018635864003,66.2966693139929,71.48913,60.04769
