Unnamed: 0,1,2,3,4,5,6,7
period,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21
어른 김장하,81.80174,100.0,91.24736,52.537420109705906,39.65578106125123,56.94486,50.27116
period,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29
양자경의 더 모든 날 모든 순간,62.79298,63.72725,71.91444,75.60018635864003,73.0935748022331,58.42484,78.42157
period,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24
괴담만찬,64.57191,71.54537,69.13955,75.60018635864003,52.03742748886688,45.91181,38.50171
period,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21
이니셰린의 밴시,55.86905,58.54855,93.82747,75.60018635864003,57.70241300438158,63.51368,50.80707
period,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04
파이어하트,41.65882,45.87006,67.17452,75.60018635864003,61.862755423116326,44.21809,36.05666
period,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19
리빙: 어떤 인생,86.84503,86.67781,92.97658,69.85314684729951,67.12334232399535,89.6321,100.0
period,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09
마이 샤이니 월드,60.45152,75.60018635864003,74.754074408483,58.49627,48.13545,44.95061,43.13646
period,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23
나의 올드 오크,86.63778,79.97334,100.0,66.80879055179159,54.78569781817942,58.98033,53.80428
period,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
라이스보이 슬립스,71.7661,62.07249,88.94702,75.60018635864003,49.5582433167508,53.87312,52.57848
period,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10
3000년의 기다림,64.70301,75.72216,93.08666,75.60018635864003,51.885908966479114,49.55371,46.25121
period,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28
플로라 앤 썬,76.13874,75.60018635864003,22.657223166940838,62.12041,50.1178,37.52617,40.3534
period,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12
큐어,54.60475,71.48724,93.53498,75.60018635864003,74.0680995078067,67.29319,50.22709
period,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08
고속도로 가족,83.73628,89.63069,83.18594,75.60018635864003,51.92552379190893,50.6661,49.56541
period,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31
천룡팔부: 교봉전,58.47371,59.4053,71.79045,75.60018635864003,61.966474238787136,51.01454,42.89816
period,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26
프로메어,85.37124,96.90363,75.60018635864003,75.16369497737986,66.82464,68.87835,49.03633
period,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16
스트리머,94.93113,79.62844,80.46124,75.60018635864003,67.42462780417544,52.49039,42.97725
period,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10
닥터 스트레인지: 대혼돈의 멀티버스,83.58403,100.0,65.18006,-18.99053941293498,1.581481247773155,29.39095,23.51463
period,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24
범죄도시2,81.79817,82.63932,76.11448,68.34815233102157,91.71449075599527,64.42164,52.31474
period,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01
해적: 도깨비 깃발,45.33693,61.04397,71.65502,54.15913834815535,77.12192782533126,90.19795,100.0
period,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19
신비한 동물들과 덤블도어의 비밀,79.25939,79.88383,79.00153,75.60018635864003,71.63625668905551,51.73497,43.86055
period,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07
더 배트맨,100.0,55.7364,43.09207,44.1211,-4.85938740369339,13.343466682901038,30.62402
period,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11
씽2게더,61.66632,64.17486,72.95681,75.60018635864003,85.36010905942625,58.14185,53.5043
period,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01
킹메이커,60.46166,66.49781,75.43259,68.90648496780392,82.21997935360997,92.36181,100.0
period,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22
언차티드,74.54984,81.16732,81.27853,75.60018635864003,81.03312245768507,54.54545,45.69891
period,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11
경관의 피,76.27623,82.15214,78.16748,71.77436016089237,91.71449075599527,53.51286,44.40415
period,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23
극장판 주술회전 0,42.01268,75.90007,75.60018635864003,47.91525935645541,52.51182,48.99866,47.80609
period,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15
이상한 나라의 수학자,75.39737,62.83018,77.1874,75.60018635864003,86.62940407967537,51.75079,42.80068
period,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05
모비우스,82.80799,81.70839,79.44563,75.60018635864003,60.68473819898154,46.44666,38.33459
period,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18
특송,52.99204,74.38707,79.9744,75.60018635864003,75.46060973095264,54.79422,45.96168
period,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03
니 부모 얼굴이 보고 싶다,56.10658,60.4018,74.65095,75.60018635864003,63.32017175486938,51.6757,47.90939
period,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29
뜨거운 피,60.44266,67.46342,76.7704,75.60018635864003,61.999311982511195,47.98663,38.56003
period,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10
배드 가이즈,62.14958,100.0,68.90816,-14.846638989405648,8.073221622103176,30.35136,24.80898
period,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12
수퍼 소닉2,47.77463,61.47894,64.37263,75.60018635864003,87.75007802551238,53.02543,34.135
period,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15
나일 강의 죽음,55.75667,62.75034,71.68558,75.60018635864003,66.41811658253167,54.72196,46.01777
period,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22
문폴,46.9153,42.97785,70.01655,75.60018635864003,44.05801946154651,34.27209,28.20887
period,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26
앵커,66.94521,75.45841,89.69753,75.60018635864003,69.87555776608829,67.56846,61.31508
period,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18
하우스 오브 구찌,100.0,90.39742,90.81925,62.302450890306204,70.66503867552193,58.35248,47.847
period,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18
웨스트 사이드 스토리,87.24992,92.25328,91.8931,75.60018635864003,68.43559160123945,44.50395,40.54755
period,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02
극장판 안녕 자두야: 제주도의 비밀,54.89522,78.16184,75.60018635864003,83.18821807035503,84.70453,91.78626,90.95748
period,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12
앰뷸런스,51.41849,65.13182,80.2655,75.60018635864003,22.250892920321412,31.96249,31.31637
period,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03
서울괴담,64.85568,67.17215,71.13485,75.60018635864003,58.436285830350286,47.94087,47.2653
period,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01
안테벨룸,65.05773,73.1093,71.23591,75.60018635864003,73.89682268199174,69.09944,56.44955
period,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12
스텔라,43.09566,59.41958,78.83398,75.60018635864003,67.13016851498884,46.10705,50.45587
period,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22
스펜서,49.59493,49.36625,79.15582,75.60018635864003,51.59950360047905,42.00218,44.778
period,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01
인민을 위해 복무하라,98.76175,90.27394,90.46647,75.60018635864003,81.23517443713973,64.30976,54.28598
period,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31
그대가 조국,87.62803,85.76461,78.79361,75.60018635864003,83.23127054592547,70.50918,87.01074
period,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16
나의 촛불,59.79275,84.96545,75.60018635864003,59.8212168534243,53.35914,46.21574,42.35178
period,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01
나이트메어 앨리,82.97027,75.13949,76.48352,75.60018635864003,81.09143155197474,70.44479,55.09979
period,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25
어나더 라운드,72.34199,74.63083,89.75191,75.60018635864003,63.45658098640107,64.11695,56.34967
period,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01
시라노,100.0,94.2359,92.18332,69.12874743020433,67.91814340626563,63.82679,56.36159
