Unnamed: 0,1,2,3,4,5,6,7
period,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22
데시벨,69.32062,85.01867,84.5526,75.60018635864003,78.2234491489563,57.93831,48.40441
period,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04
정직한 후보2,68.15014,89.26798,82.46179,60.59710564534024,91.71449075599527,86.52284,45.65441
period,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26
아쿠아맨과 로스트 킹덤,72.82577,71.25137,68.6598,51.50985977608575,91.71449075599527,82.03616,38.39031
period,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04
인디아나 존스: 운명의 다이얼,59.61262,70.47987,81.1245,75.60018635864003,48.664552498769126,45.77576,39.57585
period,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10
장화신은 고양이: 끝내주는 모험,57.32084,75.19608,75.5862,75.60018635864003,66.49615124072339,51.1985,46.10777
period,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25
블랙 아담,75.10852,74.90179,80.25068,75.60018635864003,62.489635480899366,49.87431,42.96041
period,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12
트랜스포머: 비스트의 서막,100.0,58.12365,64.96506,74.13142,61.805583582597336,61.786799724771534,50.08247
period,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07
대외비,100.0,72.47257,68.9773,39.11767044357042,39.85472278581676,38.85317,31.13641
period,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01
자백,53.24456,61.55303,77.34301,75.60018635864003,56.76766682186354,58.77551,51.2699
period,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21
프레디의 피자가게,51.7644,77.23932,77.46131,75.60018635864003,67.31550696685512,55.96823,41.68977
period,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11
리바운드,63.43455,68.68538,68.00585,75.60018635864003,75.82229963503194,56.89456,48.48945
period,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14
더 마블스,100.0,86.58613,81.45758,64.69324598768844,53.206883327175326,48.66193,43.21898
period,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27
귀공자,83.02956,93.68237,92.94656,75.60018635864003,82.96367403712328,68.98739,59.74005
period,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24
유령,66.59034,79.27332,81.85842,46.430065882119095,90.363985343615,100.0,77.1313
period,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30
인어공주,100.0,94.17408,83.94388,55.36713722659554,63.86140521486366,67.54869,64.4574
period,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20
플래시,89.73415,83.65403,85.95482,75.60018635864003,67.86138943942052,57.92813,46.25689
period,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06
압꾸정,100.0,85.02663,72.02944,64.4338668812999,69.51300026459256,48.11898,45.16211
period,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25
바비,99.37797,100.0,88.68441,57.678950105120855,64.53906427615222,79.74989,59.21646
period,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,95.62917,43.39532,51.3859,33.80259618457008,91.71449075599527,75.81515,28.21143
