Unnamed: 0,1,2,3,4,5,6,7
period,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28
서울의 봄,55.50419,73.67073,79.25816,71.19690682872215,91.71449075599527,88.93493,72.35861
period,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28
파묘,67.49954,82.78116,75.60018635864003,84.74670131624185,78.13019,54.66054,51.43671
period,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
범죄도시4,100.0,84.14176,70.42814,31.6227952530688,46.6069551919917,50.76426,42.00864
period,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20
아바타: 물의 길,84.31055,82.30668,81.87475,75.60018635864003,68.31440624890186,57.97047,53.22427
period,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06
범죄도시3,95.40589,93.4583,83.45108,75.60018635864003,87.46481854289252,75.90528,73.95812
period,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28
탑건: 매버릭,47.76435,70.3333,80.55213,75.60018635864003,79.66012499152771,63.51917,55.09826
period,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02
한산: 용의 출현,76.60501,75.02815,81.71676,75.60018635864003,87.97365624275224,73.24882,62.14314
period,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13
공조2: 인터내셔날,44.95568,61.63098,85.55714,69.80965663818212,91.71449075599527,80.01477,39.67805
period,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14
스즈메의 문단속,66.4819,66.54868,65.67709,75.41024995205873,91.71449075599527,62.07442,52.15665
period,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,2023-08-01
밀수,69.10096,78.07228,77.95637,75.60018635864003,73.35593298701151,72.55591,61.71737
period,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26
노량: 죽음의 바다,44.5216,64.09829,67.6314,45.05350078606048,91.71449075599527,82.11739,43.53888
period,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16
헌트,54.15481,61.53569,60.67855,31.249545948766034,91.71449075599527,80.4856,46.10899
period,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09
가디언즈 오브 갤럭시: Volume 3,43.59502,71.45174,100.0,20.129986777684806,19.023184984732602,35.27559,28.70895
period,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18
미션 임파서블: 데드 레코닝 PART ONE,29.84272,52.62221,66.76301,75.60018635864003,73.72313950107835,40.91445,33.42786
period,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15
콘크리트 유토피아,86.39892,89.60977,88.56044,75.60018635864003,73.8365819557183,75.19782,72.18696
period,2024-01-31,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06
웡카,75.76745,83.01571,77.02068,75.60018635864003,80.35600359856147,65.10069,49.8299
period,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29
올빼미,54.58623,57.09637,74.73146,75.60018635864003,83.52080253657721,58.07248,58.52794
period,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27
영웅,62.48215,72.18808,74.57641,75.60018635864003,84.4542391380893,68.39014,57.08114
period,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21
오펜하이머,100.0,75.96485,47.88505,47.40836,-13.49311037384696,5.9108087255624895,33.42584
period,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07
쥬라기 월드: 도미니언,100.0,63.81119,65.50343,43.3177457205431,78.64354636590073,70.02542,33.57357
period,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21
마녀(魔女) Part2. The Other One,38.00357,72.37239,80.6595,75.60018635864003,64.51673592000085,58.38886,48.82331
period,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12
토르: 러브 앤 썬더,73.45729,77.01659,76.66532,75.60018635864003,76.00490433654831,52.58151,43.07567
period,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26
미니언즈2,74.10996,76.86327,78.85553,75.60018635864003,82.22585609837415,64.44669,58.92537
period,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09
30일,74.38101,63.85742,53.65199,61.51196,21.522756558941403,91.71449075599527,82.00159
period,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15
블랙 팬서: 와칸다 포에버,67.71521,67.33734,69.37357,75.60018635864003,60.14890676063677,45.96353,40.6221
period,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09
비상선언,96.52671,100.0,88.14752,57.52842149339115,48.45786787650593,50.8776,38.50106
period,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
그대들은 어떻게 살 것인가,100.0,95.10975,84.78338,70.57248490385092,68.98689246521694,59.32027,46.89871
period,2024-02-28,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05
듄: 파트2,59.47599,85.27287,100.0,42.342465283898406,26.411841020271417,41.04356,35.38566
period,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30
육사오(6/45),56.80107,55.99733,73.58426,75.60018635864003,73.18195515037179,72.09362,75.51416
period,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18
존 윅 4,73.86113,79.36647,74.84138,75.60018635864003,72.09637797549412,56.43253,46.59675
period,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03
천박사 퇴마 연구소: 설경의 비밀,54.39489,90.56454,100.0,67.62462771698328,58.54940088973875,71.08514,51.71793
period,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05
헤어질 결심,79.77385,87.34505,84.86067,75.60018635864003,80.3713420660936,78.47386,69.85322
period,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23
분노의 질주: 라이드 오어 다이,61.46216,72.08416,79.75611,75.60018635864003,65.52794526350348,52.67219,46.06549
period,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
쿵푸팬더4,100.0,53.17659,54.00778,14.90997445087406,18.89119558909597,33.73411,26.29053
period,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24
교섭,53.00934,63.45611,69.57795,38.362923691856395,86.81326925291,100.0,76.26167
period,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30
시민덕희,58.87173,66.0944,75.01622,75.60018635864003,71.66572226168927,57.91016,50.79507
period,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21
앤트맨과 와스프: 퀀텀매니아,80.9493,74.78395,74.79541,75.60018635864003,58.580585287442794,49.20174,43.7551
period,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26
외계+인 1부,64.67847,76.30586,79.56502,75.60018635864003,74.78141191198209,60.77891,54.14576
period,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12
잠,58.31183,75.25955,80.952,75.60018635864003,75.96340698842243,61.20781,48.58399
period,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16
외계+인 2부,66.13864,78.88549,78.24014,75.60018635864003,72.48617476191349,51.21147,46.96678
period,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09
위시,61.58326,79.69105,84.58378,75.60018635864003,68.73307929650232,53.47371,48.18168
period,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21
달짝지근해: 7510,92.27279,93.94674,79.54944,80.86524,75.60018635864003,74.20856844045684,62.41269
period,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14
브로커,82.93962,91.5122,82.62876,75.60018635864003,76.06540697902297,59.17213,43.39345
period,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",58.5841,66.39518,72.65825,55.19869598084237,91.71449075599527,80.20903,90.39045
period,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04
인생은 아름다워,63.41105,72.53871,68.808,42.39770284835212,91.71449075599527,96.0453,59.89583
period,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02
드림,72.19391,86.02286,83.02259,75.60018635864003,72.77279293482701,64.45402,43.62341
period,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08
비공식작전,77.29542,85.47594,86.78021,75.60018635864003,68.07462196671342,57.31527,45.32605
period,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03
1947 보스톤,57.17382,93.48269,100.0,62.22855086063731,51.626628297064684,66.92605,45.05098
period,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-02
댓글부대,87.15022,97.97418,84.68889,75.60018635864003,53.445047002868904,47.50997,37.46878
period,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27
스파이더맨: 어크로스 더 유니버스,59.75454,78.88028,75.5355,75.60018635864003,72.03335438958304,57.33453,45.56239
