Unnamed: 0,1,2,3,4,5,6,7
period,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26
극장판 스파이 패밀리 코드 : 화이트,52.2895,63.35026,70.73256,75.60018635864003,60.19014219256144,41.69173,35.71205
period,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
용감한 시민,67.02439,90.81134,91.57491,75.60018635864003,63.06046547162802,54.44698,48.79741
period,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17
화란,74.85742,85.45832,83.27161,75.60018635864003,70.35813836677883,57.3594,48.13237
period,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09
크리에이터,100.0,71.14004,55.12649,59.34476,12.432969595092878,82.46825954257449,63.25076
period,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
옥수역귀신,64.01933,56.54503,72.47971,75.60018635864003,76.57426104864524,64.43807,56.5258
period,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07
아임 히어로 더 파이널,77.86812,74.86056,85.48605,75.60018635864003,60.421234130822924,45.32447,43.82851
period,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16
DC 리그 오브 슈퍼-펫,58.90669,61.21298,66.52332,61.298968469396655,91.71449075599527,81.43407,40.04462
period,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13
데드맨,61.7934,91.17643,100.0,56.29309543374308,59.66082591972127,54.72236,32.679
period,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21
소울메이트,51.98287,69.77227,80.3816,75.60018635864003,71.29457063484202,55.09062,47.52014
period,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04
극장판 헬로카봇: 수상한 마술단의 비밀,36.24742,41.82394,54.52715,47.4219050909134,91.71449075599527,94.94186,24.90814
period,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31
메간,62.03538,70.2381,74.6164,75.60018635864003,52.68285448764664,48.76339,49.25035
period,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12
나폴레옹,77.35659,89.814,87.66815,75.60018635864003,66.33171697566449,62.62525,54.46328
period,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03
젠틀맨,71.10829,88.07741,98.44341,75.60018635864003,64.00604843697025,49.37449,39.18155
period,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07
극장판 뽀로로와 친구들: 바이러스를 없애줘!,34.26871,55.88251,18.732759666566587,91.71449075599527,52.19195,33.4225,34.30692
period,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07
스턴트맨,75.40627,66.80513,73.07109,39.43109988169252,91.71449075599527,66.70689,43.01832
period,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07
바빌론,57.14943,68.17734,82.09204,75.60018635864003,61.70295380086596,48.11269,42.10485
period,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07
브레드이발소: 셀럽 인 베이커리타운,98.20089,75.60018635864003,39.90918498590148,31.89404,22.31326,21.96211,20.96067
period,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07
