Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd
219.0,익스펜더블 4,2023-10-18,606052589.0,0.0,606052589.0,63379.0,63379.0,634.0,10979.0,미국,미국,,"(주)올스타엔터테인먼트,(주)플레이그램",청소년관람불가,액션,스캇 워프,"제이슨 스타뎀,실베스터 스탤론,메간 폭스,50 센트,토니 자,돌프 룬드그렌,이코 우웨이스,랜디 커투어,앤디 가르시아",20234213
220.0,본즈 앤 올,2022-11-30,659874147.0,0.0,659874147.0,62773.0,62773.0,356.0,6450.0,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"공포(호러),멜로/로맨스",루카 구아다니노,"테일러 러셀,티모시 샬라메,마크 라이런스,클로에 세비니",20228045
221.0,극장판 5등분의 신부,2022-09-22,673250823.0,0.0,673250823.0,62471.0,62471.0,91.0,2656.0,일본,일본,,(주)애니플러스,12세이상관람가,"애니메이션,드라마",진보 마사토,"마츠오카 요시츠구,하나자와 카나,타케타츠 아야나,이토 미쿠,사쿠라 아야네,미나세 이노리",20226751
222.0,신체모음.zip,2023-08-30,576492200.0,0.0,576492200.0,62287.0,62287.0,269.0,7490.0,한국,한국,"(주)싸이더스,주식회사 헤이데이프로덕션,무비파킹 주식회사","(주)스튜디오디에이치엘,(주)싸이더스",15세이상관람가,공포(호러),"최원경,전병덕,이광진,지삼,김장미,서형우","김민석,김채은,한상혁,강준규,김아현,조우리,정준원,이진희,구본진,리우림,구선민,이교형,김희상,권아름,김윤정,이주은,우유민,이유진,김금원,김현정,도연진,백현주,소희정,조지승,최형태,임성재,김현정",20233075
223.0,시맨틱 에러: 더 무비,2022-08-31,692504700.0,0.0,692504700.0,62204.0,62204.0,57.0,1311.0,한국,한국,주식회사 왓챠,주식회사 왓챠,12세이상관람가,멜로/로맨스,김수정,"박서함,박재찬,송지오,김노진,김원기,최수견,차재훈,김건희,김진성,정준교,허이진,박준환,이진성,경수빈,신민선,한태희,기현우,손범서,한태경,우주명,이혜민,문해민,김정민,석유진,이정혁,조성진,정주원,송명호",20225892
224.0,엔시티 드림 더 무비 : 인 어 드림,2022-11-30,1239999100.0,0.0,1239999100.0,62018.0,62018.0,103.0,2445.0,한국,한국,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,전체관람가,다큐멘터리,"이예지,오윤동",,20228602
225.0,빅샤크4: 바다공룡 대모험,2022-07-06,542563280.0,0.0,542563280.0,61783.0,61783.0,455.0,3300.0,중국,중국,,와이드 릴리즈(주),전체관람가,어드벤처,,"김용,김소희,박시윤",20211321
226.0,수라,2023-06-21,520744124.0,0.0,520744124.0,61573.0,61573.0,136.0,2351.0,한국,한국,"스튜디오두마,미디어나무(주)","스튜디오두마,미디어나무(주),스튜디오 에이드",전체관람가,다큐멘터리,황윤,황윤,20227654
227.0,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,526275100.0,0.0,526275100.0,61203.0,61203.0,128.0,2915.0,한국,한국,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주),전체관람가,애니메이션,변희선,"조경이,이소은,박요한,김새해,장예나",20232491
228.0,더 킬러: 죽어도 되는 아이,2022-07-13,601780660.0,0.0,601780660.0,60175.0,60175.0,314.0,4090.0,한국,한국,"(주)아센디오,(주)씨네마로엔터테인먼트","(주)아이에이치큐,(주)영화사 륙,(주)씨네필운",청소년관람불가,액션,최재훈,"장혁,이서영,브루스 칸,이승준,방은정,최기섭,신승환,홍서준,이채영,유서진,조한슬,김홍경,최영우,이건구,위민국,박형준,김태원,백진욱,박수지,정현옥,정원석,박근형,김미소,이혜지,양재희,한경미,한정희,김진형,방병현,조현수,고용석,구본혁,정윤철,조승원,김동환,윤택승,이상엽,박준환,박경모,송지민,박예슬,정성훈,조동혁,김선간,송지민,권오철,전시완,조제웅,고상현,김승준,이충식,전솔휘,이광호,박용균,김동철,유시정,김경우,심상용,김동운,정성호,박재선,김주용,임동은,김세빈,전찬웅,김용훈,황진모,심영석,오태승,김태진,조동혁,정성훈,윤기현,김주호,최민,정지상,이준,최재옥,김도연,박경모,김태경,손현주,차태현,박영운",20225186
229.0,티켓 투 파라다이스,2022-10-12,574492108.0,0.0,574492108.0,60171.0,60171.0,581.0,9663.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"멜로/로맨스,코미디",올 파커,"줄리아 로버츠,조지 클루니,케이틀린 디버",20227338
230.0,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,493480400.0,0.0,493480400.0,59654.0,59654.0,298.0,3237.0,독일,독일,,TCO(주)더콘텐츠온,전체관람가,"애니메이션,판타지,어드벤처",,,20234293
231.0,슬픔의 삼각형,2023-05-17,569632421.0,0.0,569632421.0,58509.0,58509.0,294.0,5309.0,미국,미국,,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",15세이상관람가,"코미디,드라마",루벤 외스틀룬드,"우디 해럴슨,해리스 딕킨슨",20231029
232.0,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2023-02-23,511513000.0,0.0,511513000.0,57452.0,57452.0,284.0,5036.0,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,액션,어드벤처",,"하성용,정재헌,엄상현,윤승희,김율,유동균,김정은,한경화,박성영,이재현",20239913
233.0,기동전사 건담 시드 프리덤,2024-04-03,613709244.0,0.0,613709244.0,56596.0,56596.0,418.0,5353.0,일본,일본,,워터홀컴퍼니(주),12세이상관람가,애니메이션,후쿠다 미츠오,"호시 소이치로,이시다 아키라,타나카 리에",20248222
234.0,더 웨일,2023-03-01,556416366.0,0.0,556416366.0,56591.0,56591.0,203.0,4807.0,미국,미국,,(주)스튜디오디에이치엘,15세이상관람가,드라마,대런 아로노프스키,브렌든 프레이저,20230523
235.0,애스터로이드 시티,2023-06-28,557843047.0,0.0,557843047.0,56455.0,56455.0,269.0,4054.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,웨스 앤더슨,"제이슨 슈왈츠먼,스칼렛 요한슨,톰 행크스,제프리 라이트,틸다 스윈튼,브라이언 크랜스톤,에드워드 노튼,애드리언 브로디,리브 슈라이버,홉 데이비스",20231781
236.0,바람 따라 만나리 : 김호중의 계절,2023-10-18,1259368000.0,0.0,1259368000.0,56056.0,56056.0,78.0,2768.0,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,김호중,20234663
238.0,류이치 사카모토: 오퍼스,2023-12-27,527180447.0,0.0,527180447.0,55380.0,55380.0,251.0,4531.0,일본,일본,,"(주)엣나인필름,메가박스중앙(주)",전체관람가,"공연,다큐멘터리",소라 네오,사카모토 류이치,20236080
240.0,고고다이노 극장판: 얼음공룡의 비밀,2022-10-05,494349813.0,0.0,494349813.0,54231.0,54231.0,531.0,4934.0,한국,한국,(주)모꼬지,"(주)넥스트엔터테인먼트월드(NEW),(주)블루라벨픽쳐스",전체관람가,애니메이션,이선명,"이민규,전태열,김은아,엄상현,성완경,신용우,홍범기,김율,남도형,김명준,천지선,김채하,이영아,최향윤",20226739
241.0,라일 라일 크로커다일,2023-01-18,502081439.0,0.0,502081439.0,54192.0,54192.0,384.0,5072.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"가족,뮤지컬,드라마","조쉬 고든,윌 스펙","하비에르 바르뎀,콘스탄스 우,스쿳 맥네이리,윈슬로우 페글리,숀 멘데스,브렛 겔맨",20229166
242.0,런닝맨: 리벤져스,2023-08-10,454676800.0,0.0,454676800.0,54097.0,54097.0,221.0,3456.0,한국,한국,(주)로커스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,엄영식,,20232618
243.0,렌필드,2023-04-19,488403949.0,0.0,488403949.0,53358.0,53358.0,577.0,9702.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"코미디,판타지,공포(호러)",크리스 맥케이,"니콜라스 홀트,니콜라스 케이지,아콰피나",20231244
244.0,사운드 오브 프리덤,2024-02-21,578652700.0,0.0,578652700.0,53312.0,53312.0,248.0,4797.0,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,알레한드로 고메즈 몬테베르드,제임스 카비젤,20247219
245.0,마야 3: 숲속 왕국의 위기,2023-08-24,424258000.0,0.0,424258000.0,53226.0,53226.0,208.0,3537.0,독일,독일,,(주)박수엔터테인먼트,전체관람가,애니메이션,노엘 클리어리,,20232629
246.0,인생은 뷰티풀: 비타돌체,2022-09-07,1667323500.0,0.001,1667323500.0,52969.0,52969.0,107.0,1540.0,한국,한국,씨제이포디플렉스 주식회사,"씨제이 씨지브이(CJ CGV)(주),씨제이포디플렉스 주식회사",전체관람가,"다큐멘터리,공연","김선형,오윤동",김호중,20226879
247.0,엔니오: 더 마에스트로,2023-07-05,492705957.0,0.0,492705957.0,52246.0,52246.0,67.0,2509.0,이탈리아,이탈리아,,"(주)영화사 진진,(주)씨네필운",12세이상관람가,다큐멘터리,쥬세페 토르나토레,"엔니오 모리꼬네,클린트 이스트우드,쿠엔틴 타란티노,존 윌리엄스,한스 짐머,왕가위,브루스 스프링스틴,퀸시 존스",20231923
248.0,정글번치: 월드투어,2024-01-31,431379500.0,0.0,431379500.0,52193.0,52193.0,193.0,3702.0,프랑스,프랑스,,(주)무비다이브,전체관람가,애니메이션,,,20246964
249.0,아인보: 아마존의 전설,2022-10-26,397326479.0,0.0,397326479.0,51683.0,51683.0,401.0,3240.0,페루,"페루,네덜란드,미국",,(주)디스테이션,전체관람가,애니메이션,"리처드 클라우스,호세 젤라다",,20226558
250.0,컴백홈,2022-10-05,455749079.0,0.0,455749079.0,51404.0,51404.0,603.0,8970.0,한국,한국,"(주)슬기로운늑대,(유)조이앤시네마",(주)제이앤씨미디어그룹,15세이상관람가,"드라마,코미디",이연우,"송새벽,라미란,이범수,이경영,김원해,이준혁,오대환,인교진,이중옥,황재열,이상원,안석환,염동헌,이윤건,임형택,나종민,윤세웅,김대희,김준호,김지민,강은진,최환이,김영휘,서인혁,신민호,노진영,배강민,천영암,문학진,남지우,이현빈,유석원,김사훈,김범태,권윤구,황정훈,김현창,홍대영,오윤수,김영훈,이택희,이현영,박정숙,서하영,오누리,홍기주",20217624
251.0,마브카 : 숲의 노래,2023-10-18,432749154.0,0.0,432749154.0,51220.0,51220.0,489.0,4145.0,우크라이나,"우크라이나,미국",,(주)팝엔터테인먼트,전체관람가,"애니메이션,어드벤처",올레말라므,,20233653
252.0,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,470359418.0,0.0,470359418.0,51007.0,51007.0,432.0,3526.0,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,김수경,"조경이,이소은,김새해,송하림,김채하,정혜원,여민정,황창영",20228309
253.0,고스트버스터즈: 오싹한 뉴욕,2024-04-17,466751403.0,0.0,466751403.0,50879.0,50879.0,671.0,9824.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처",길 키넌,"폴 러드,핀 울프하드,맥케나 그레이스,빌 머레이,댄 애크로이드,어니 허드슨",20248466
254.0,거울 속 외딴 성,2023-04-12,489227269.0,0.0,489227269.0,50772.0,50772.0,335.0,4783.0,일본,일본,,워터홀컴퍼니(주),12세이상관람가,"애니메이션,미스터리,판타지",하라 케이이치,"아시다 마나,키타무라 타쿠미,타카야마 미나미,미야자키 아오이",20231009
255.0,애프터썬,2023-02-01,484619238.0,0.0,484619238.0,49882.0,49882.0,64.0,3081.0,영국,영국,,"그린나래미디어(주),(주)영화사 안다미로",12세이상관람가,드라마,,폴 메스칼,20239877
256.0,아이엠 티라노,2024-03-01,414436200.0,0.0,414436200.0,49162.0,49162.0,229.0,2516.0,중국,중국,,"주식회사 원더스튜디오,영화사빅",전체관람가,애니메이션,,,20247473
257.0,스즈메의 문단속: 다녀왔어,2024-01-10,479691900.0,0.0,479691900.0,48570.0,48570.0,185.0,4368.0,일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,"하라 나노카,마츠무라 호쿠토",20236557
258.0,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,2022-08-03,446107798.0,0.0,446107798.0,48255.0,48255.0,389.0,3734.0,일본,일본,,(주)스마일이엔티,전체관람가,애니메이션,야마구치 스스무,"윤아영,김정아,이현주,조현정,최낙윤",20226107
259.0,사랑할 땐 누구나 최악이 된다,2022-08-25,487567867.0,0.0,487567867.0,48167.0,48167.0,80.0,3105.0,노르웨이,노르웨이,,"그린나래미디어(주),(주)하이스트레인저",15세이상관람가,"멜로/로맨스,드라마",요아킴 트리에,"레나테 레인스베,앤더스 다니엘슨 라이,헤르베르트 노르드룸",20225556
