Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au
219.0,익스펜더블 4,2023-10-18,606052589.0,0.0,606052589.0,63379.0,63379.0,634.0,10979.0,미국,미국,,"(주)올스타엔터테인먼트,(주)플레이그램",청소년관람불가,액션,스캇 워프,"제이슨 스타뎀,실베스터 스탤론,메간 폭스,50 센트,토니 자,돌프 룬드그렌,이코 우웨이스,랜디 커투어,앤디 가르시아",20234213,2,7,15,57231,62460,62765
220.0,본즈 앤 올,2022-11-30,659874147.0,0.0,659874147.0,62773.0,62773.0,356.0,6450.0,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"공포(호러),멜로/로맨스",루카 구아다니노,"테일러 러셀,티모시 샬라메,마크 라이런스,클로에 세비니",20228045,8,11,15,36734,48948,53055
221.0,극장판 5등분의 신부,2022-09-22,673250823.0,0.0,673250823.0,62471.0,62471.0,91.0,2656.0,일본,일본,,(주)애니플러스,12세이상관람가,"애니메이션,드라마",진보 마사토,"마츠오카 요시츠구,하나자와 카나,타케타츠 아야나,이토 미쿠,사쿠라 아야네,미나세 이노리",20226751,5,14,27,25719,35327,48162
222.0,신체모음.zip,2023-08-30,576492200.0,0.0,576492200.0,62287.0,62287.0,269.0,7490.0,한국,한국,"(주)싸이더스,주식회사 헤이데이프로덕션,무비파킹 주식회사","(주)스튜디오디에이치엘,(주)싸이더스",15세이상관람가,공포(호러),"최원경,전병덕,이광진,지삼,김장미,서형우","김민석,김채은,한상혁,강준규,김아현,조우리,정준원,이진희,구본진,리우림,구선민,이교형,김희상,권아름,김윤정,이주은,우유민,이유진,김금원,김현정,도연진,백현주,소희정,조지승,최형태,임성재,김현정",20233075,8,8,10,39715,53655,61466
223.0,시맨틱 에러: 더 무비,2022-08-31,692504700.0,0.0,692504700.0,62204.0,62204.0,57.0,1311.0,한국,한국,주식회사 왓챠,주식회사 왓챠,12세이상관람가,멜로/로맨스,김수정,"박서함,박재찬,송지오,김노진,김원기,최수견,차재훈,김건희,김진성,정준교,허이진,박준환,이진성,경수빈,신민선,한태희,기현우,손범서,한태경,우주명,이혜민,문해민,김정민,석유진,이정혁,조성진,정주원,송명호",20225892,7,11,11,31297,40509,49105
226.0,수라,2023-06-21,520744124.0,0.0,520744124.0,61573.0,61573.0,136.0,2351.0,한국,한국,"스튜디오두마,미디어나무(주)","스튜디오두마,미디어나무(주),스튜디오 에이드",전체관람가,다큐멘터리,황윤,황윤,20227654,6,8,13,21721,26767,30265
227.0,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,526275100.0,0.0,526275100.0,61203.0,61203.0,128.0,2915.0,한국,한국,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주),전체관람가,애니메이션,변희선,"조경이,이소은,박요한,김새해,장예나",20232491,9,9,14,31534,48361,55980
229.0,티켓 투 파라다이스,2022-10-12,574492108.0,0.0,574492108.0,60171.0,60171.0,581.0,9663.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"멜로/로맨스,코미디",올 파커,"줄리아 로버츠,조지 클루니,케이틀린 디버",20227338,6,8,11,49340,57460,58866
230.0,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,493480400.0,0.0,493480400.0,59654.0,59654.0,298.0,3237.0,독일,독일,,TCO(주)더콘텐츠온,전체관람가,"애니메이션,판타지,어드벤처",,,20234293,8,11,25,27787,45260,56454
231.0,슬픔의 삼각형,2023-05-17,569632421.0,0.0,569632421.0,58509.0,58509.0,294.0,5309.0,미국,미국,,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",15세이상관람가,"코미디,드라마",루벤 외스틀룬드,"우디 해럴슨,해리스 딕킨슨",20231029,5,9,12,29405,41725,48418
