Movie_Title,Week1_Avg,Week2_Avg,Week3_Avg
서울의 봄,9.823204419889503,9.841463414634147,9.835087719298246
파묘,6.2844444444444445,5.794117647058823,5.678200692041522
범죄도시4,5.842553191489362,5.503378378378378,5.423452768729642
아바타: 물의 길,9.338235294117647,9.1628664495114,9.135483870967741
범죄도시3,6.447513812154696,6.097777777777778,5.9604743083003955
탑건: 매버릭,0.0,0.0,0.0
한산: 용의 출현,9.20814479638009,9.250847457627119,9.25974025974026
공조2: 인터내셔날,9.458646616541353,9.419243986254296,9.41891891891892
스즈메의 문단속,,,
밀수,6.054644808743169,6.1477272727272725,6.15358361774744
노량: 죽음의 바다,9.166666666666666,8.88,8.787096774193548
헌트,0.0,0.0,0.0
가디언즈 오브 갤럭시: Volume 3,9.779816513761467,9.812734082397004,9.78853046594982
미션 임파서블: 데드 레코닝 PART ONE,9.137614678899082,9.034722222222221,9.03921568627451
콘크리트 유토피아,7.7592592592592595,7.621513944223108,7.418181818181818
웡카,7.8159203980099505,7.968,8.0
올빼미,0.0,0.0,0.0
영웅,8.33774834437086,8.762557077625571,8.894736842105264
오펜하이머,8.330827067669173,8.194444444444445,8.029702970297029
쥬라기 월드: 도미니언,7.48014440433213,7.461538461538462,7.470383275261324
마녀(魔女) Part2. The Other One,5.6680851063829785,5.51310861423221,5.545454545454546
토르: 러브 앤 썬더,4.248175182481752,4.175862068965517,4.154109589041096
미니언즈2,8.272189349112425,8.205020920502092,8.18867924528302
30일,8.821428571428571,8.773148148148149,8.759036144578314
블랙 팬서: 와칸다 포에버,5.321608040201005,5.1603053435114505,5.118959107806692
비상선언,3.3793103448275863,3.468864468864469,3.468864468864469
그대들은 어떻게 살 것인가,5.573643410852713,5.7353951890034365,5.7901639344262295
듄: 파트2,9.792349726775956,9.815668202764977,9.80505415162455
육사오(6/45),9.237113402061855,9.198757763975156,9.244444444444444
존 윅 4,9.203296703296703,9.05761316872428,8.985401459854014
천박사 퇴마 연구소: 설경의 비밀,6.528688524590164,6.491039426523297,6.439024390243903
헤어질 결심,9.14765100671141,9.321951219512195,9.327354260089686
분노의 질주: 라이드 오어 다이,8.651515151515152,8.469635627530364,8.388489208633093
쿵푸팬더4,7.103896103896104,7.134328358208955,7.128755364806867
교섭,5.322033898305085,5.223958333333333,5.1658536585365855
시민덕희,8.786516853932584,8.565022421524663,8.478260869565217
