,0,1,2,3,4,5,6
나폴레옹: (대한민국),79,53,74,86,100,65,46
젠틀맨: (대한민국),56,76,65,60,100,0,0
스턴트맨: (대한민국),100,40,47,78,81,93,46
바빌론: (대한민국),49,48,93,100,76,48,37
원피스 필름 레드: (대한민국),95,62,61,100,97,39,49
베니스 유령 살인사건: (대한민국),79,58,52,100,83,40,46
멍뭉이: (대한민국),0,0,100,0,0,0,0
킬링 로맨스: (대한민국),0,100,96,53,58,67,56
헝거게임  노래하는 새와 뱀의 발라드: (대한민국),60,81,0,100,76,49,55
오멘  저주의 시작: (대한민국),0,0,0,100,87,0,70
마루이 비디오: (대한민국),100,64,52,100,97,57,56
가여운 것들: (대한민국),54,47,60,98,80,100,51
불릿 트레인: (대한민국),100,70,89,67,84,42,0
아가일: (대한민국),65,80,74,68,100,75,29
보호자: (대한민국),100,82,51,59,0,72,40
패스트 라이브즈: (대한민국),84,81,78,100,69,72,0
메가로돈 2: (대한민국),100,86,62,79,91,63,57
블루 자이언트: (대한민국),71,29,58,100,91,53,50
그란 투리스모: (대한민국),67,54,53,100,90,66,78
다음 소희: (대한민국),54,85,88,100,70,45,50
말하고 싶은 비밀: (대한민국),100,0,98,0,0,0,0
문재인입니다: (대한민국),95,98,86,100,76,76,62
에브리씽 에브리웨어 올 앳 원스: (대한민국),0,0,76,77,100,0,0
에어: (대한민국),100,98,92,100,91,95,100
마녀(魔女) Part2. The Other One: (대한민국),65,56,71,100,96,50,30
