w1_au,w2_au,w1_av_sc,slope,nt_ch
2364698,2703248,1062.7173857216228,3.340999669856973,14.428513544817877
3312940,3293441,1560.2893090224047,-3.6392759413800015,-16.247750252053798
5005375,3713108,1735.7388784305954,-9.448223743143156,-25.088222082603306
3201537,2814863,1154.8961092501931,-5.553271562539221,-21.186659506692727
6053085,1993031,2527.9872919276886,-3.408414694896696,-7.869457908695836
1829356,1819104,984.9620798400122,0.2671951782688475,-2.4699732591507626
2996258,1901895,1409.340545625588,-1.453120491330276,-2.782321175409251
3544785,1375129,1559.714312653215,0.9675728841426884,4.98073942578624
1098259,973735,810.6087094053142,-0.9245310444287398,0.1190402639837486
2224264,1563042,1208.088764742396,-1.3494266790353038,-5.972711427322849
2367281,1432559,1179.5961702733484,2.0418975269998314,17.13072255548331
2096195,1117024,1348.4070023892664,1.5999393127141175,20.86504459814025
1830021,1035298,1047.6933834955423,-7.070975893402407,-31.124945032843677
2014779,1085799,868.599679743795,-0.203570374961487,-6.85188175596722
2136508,764918,1390.1799591002043,-3.0779870730100614,-11.301875104420574
914503,972246,546.4379854886896,-3.939548800051376,-12.755475390139525
989649,911420,678.2399647542588,0.8059533048777574,1.2035125891990504
967483,835851,819.0084653525215,-0.4971814593539529,-1.2365335436302305
1680147,693022,1092.321816662023,-14.328882961525784,-59.200052216094825
2226799,441319,1100.8964616145208,-6.203954058360689,-7.410579308168863
1686770,649769,1025.7484145599865,-0.4160930028571119,-9.41594294965973
1953256,621702,1003.7286742034944,-5.024122702266131,-18.464151810810577
992433,700583,802.3828828828829,-2.39345013934378,-7.824597890201957
774293,471642,693.8109318996416,1.658808859676141,1.7290174383122263
1223804,574434,493.6115240564679,-4.758986187120115,-21.095064336114405
1549239,397309,963.0293046798686,-11.143264361553358,-39.60515358117913
1063664,471765,644.1986502855166,-8.809975626242252,-29.21444623755709
905472,435865,740.1966600490483,-8.36849174927602,-37.4924776475508
585230,631254,550.3237506716821,3.1403408982275645,8.100866793797266
830375,476686,565.7606579715787,-4.657357929446639,-17.54207226449531
1512444,253486,1066.8186215235792,-3.158581396795044,-17.695190799332913
613512,355748,512.1135225375626,-1.8569142119252289,-5.662131734295471
963809,643030,572.333135391924,-3.5443612405891614,-17.470445668492175
925668,348882,512.429893238434,-10.540355514675143,-29.21830758301986
1137854,351204,895.948031496063,5.717146044746785,31.59006549467256
597801,389977,503.7446731672084,-1.569605633511097,-8.771983335763586
975633,400851,502.9776844896156,-6.3914944540199,-26.01973649384574
1067857,366705,618.9450194584748,-2.408415646000639,-10.80202345233264
633262,459102,556.6089904570567,-2.224128321842056,-10.61248926018586
733722,415189,561.6856955380578,-4.236342329931661,-17.827972502355514
711478,326025,557.7095184770436,-3.8746471679820607,-18.568412657492573
495704,381921,606.418734708144,-4.750210598587368,-15.91807090030106
885094,265563,593.7950929653056,-6.781500107892037,-23.62652926331902
71801,145191,316.7025834908633,5.075106812714118,24.22893375678784
363305,304112,300.53592531316474,2.120500384142688,20.76300787324373
679743,304725,548.7488178987429,-4.967820609470463,-18.92647894471766
812259,209979,733.1802707930367,-6.104822786903092,-24.38262510075553
735536,125716,621.6797874909442,-4.923398989390547,-23.686712449471088
611447,220286,527.6293145956607,-10.043449392754685,-40.21210342203704
407822,229242,399.93751751190814,-3.184646271800605,-14.132535126465667
571385,244366,525.3079852902548,-4.401375030394418,-17.100962706674572
518253,238111,409.963950728896,-2.27588461585731,-0.4886736593366407
514189,273105,554.8517034068137,-2.095789615857312,4.651953641310314
592782,230847,483.1149144254279,-5.070659910758246,-27.03223992340364
359722,210921,436.0266666666666,-3.240157812831306,-16.325019509418873
484238,187910,330.34460578890946,-5.866440518539308,-24.69050892936022
593479,133767,550.3183203073256,-5.1994916774235564,-16.413414730877044
553546,155049,523.2003780718336,-10.819719543363687,-33.52711751562036
311754,263558,287.25523232855073,-1.1447986849334453,-11.330837649038829
374278,201683,425.3849650917357,-2.961138322612317,-15.525135100708304
333478,171459,307.5959942021347,-2.164303227320288,-8.529388377982698
495805,155898,346.9594121763471,-9.801505595458025,-34.82164122119699
412186,188945,453.87792984112,-4.615763427245598,-15.75096441061892
414286,138668,423.3579562043796,2.9136359051291074,20.627058644008585
473534,128889,364.0169119262025,-6.4271805280405845,-18.082109235027676
479453,123033,396.3357345299953,-7.142036091449268,-26.386993443186505
413229,172740,373.14280185758525,-8.601621776264551,-26.10778746546077
309036,158324,413.6237093690249,-6.6117891329945655,-18.600194434229493
395963,128647,614.1681808109905,-3.467320330143025,9.193777039189245
63561,37743,419.7424528301887,2.2373115554532133,9.265462094569996
143728,77670,232.35473441108545,0.0106781035285365,-5.82343845672699
352995,106525,1076.673202614379,-6.184740584237145,-26.75035957458825
268195,197045,340.0407534866872,-2.8523218170339866,-14.35302021531055
412257,86485,427.3358507330077,-8.017534955872595,-26.77892971068895
349938,111946,388.265335235378,-5.937008963625536,-29.08940691683168
341577,117610,357.9935619104656,-8.701826819834366,-28.812542741447423
286925,117419,289.82323232323233,-2.956464078095789,-14.91960715188737
371025,70381,320.6388888888889,-12.110796025094952,-37.54633070380419
274790,109037,402.5805776475513,-1.7523316021224666,-7.126426403856087
188122,123444,369.902808988764,0.4338156630286191,-0.3813754013928943
301639,89636,326.0962162162162,-1.636819007026037,-8.307205655236352
261404,110478,302.80125765348333,-4.38657777716679,-22.19436334321673
292366,75284,326.3533726678361,-7.588930436618982,-28.63679733143716
241144,124651,286.24860098355094,-2.059566462969248,-9.885754410706312
272554,111735,237.62336530078463,-6.775692929326984,-31.491718930045195
240741,132743,355.07522123893807,2.342491098428403,16.059582680976455
287127,90906,395.6474409448819,-5.564076978152598,-20.990105885750918
263102,87273,306.4925944416708,-2.861170853587069,-11.189257056472655
273358,92080,300.2520006276479,-2.1095312744796617,-12.097572651470188
169030,110510,284.0840336134454,-0.0183471158573108,0.8719622424736926
66821,59400,115.1518956179222,5.884220026999829,24.73051650303672
170712,84901,260.79965080750765,-5.494687300924492,-18.931870127628383
279084,74207,350.92293874618287,-0.105306130140732,-0.7863896376401698
262489,63317,394.2121862261317,-4.639893055341678,-16.606490090312747
144351,121338,235.8676470588236,-3.6012683318493086,-17.23916602025355
187360,79611,268.8091822094692,-2.860455579477982,-17.11643199812118
160614,96568,207.01491438040875,-3.803085824001968,-16.804909280345043
229326,63089,307.5252873563219,-4.227126445865369,-17.35507675107013
198258,78856,258.4850065189048,-6.881627580388648,-21.9918073361507
265637,35101,307.5010749131801,-8.670229181824745,-35.260256338354715
184506,56069,229.0780418588152,-3.699708135979949,-19.628485858806197
202133,52147,242.73992108423403,-5.568718018870428,-25.81775476578401
188757,58924,201.3868312757201,-5.331659344043613,-21.1802479674004
216084,34887,263.74681778552747,-4.653028618562791,-18.685492787444204
93135,77639,328.601310483871,-0.0928556768340984,-1.3150204067782454
152974,38765,1129.5548523206753,-6.651993781042039,-28.59565771271904
171875,52494,307.62592687292255,0.3231121698569755,9.078903967982598
208248,28056,278.8324407039021,-7.163946931438525,-28.29500271852867
133713,60181,191.80143442622952,-1.8513756916127857,-11.465788044712674
145986,52791,248.81957633308983,3.907333598428405,25.516393145936743
142570,64794,228.4252689402609,-3.687073411155478,-20.390318427111133
162570,56314,211.4829957257016,-5.156923679440553,-21.46964926443852
198784,17634,281.05190870531203,-7.415122198679634,-32.45329461066991
86075,53648,337.54901960784315,-0.4052214166630928,-10.175827605640464
