w1_au,w2_au,w1_av_sc,slope
2364698,2703248,1062.7173857216228,3.340999669856973
3312940,3293441,1560.2893090224047,-3.6392759413800015
5005375,3713108,1735.7388784305954,-9.448223743143156
3201537,2814863,1154.8961092501931,-5.553271562539221
6053085,1993031,2527.9872919276886,-3.408414694896696
1829356,1819104,984.9620798400122,0.2671951782688475
2996258,1901895,1409.340545625588,-1.453120491330276
3544785,1375129,1559.714312653215,0.9675728841426884
1098259,973735,810.6087094053142,-0.9245310444287398
2224264,1563042,1208.088764742396,-1.3494266790353038
2367281,1432559,1179.5961702733484,2.0418975269998314
2096195,1117024,1348.4070023892664,1.5999393127141175
1830021,1035298,1047.6933834955423,-7.070975893402407
2014779,1085799,868.599679743795,-0.203570374961487
2136508,764918,1390.1799591002043,-3.0779870730100614
914503,972246,546.4379854886896,-3.939548800051376
989649,911420,678.2399647542588,0.8059533048777574
967483,835851,819.0084653525215,-0.4971814593539529
1680147,693022,1092.321816662023,-14.328882961525784
2226799,441319,1100.8964616145208,-6.203954058360689
1686770,649769,1025.7484145599865,-0.4160930028571119
1953256,621702,1003.7286742034944,-5.024122702266131
992433,700583,802.3828828828829,-2.39345013934378
774293,471642,693.8109318996416,1.658808859676141
1223804,574434,493.6115240564679,-4.758986187120115
1549239,397309,963.0293046798686,-11.143264361553358
1063664,471765,644.1986502855166,-8.809975626242252
905472,435865,740.1966600490483,-8.36849174927602
585230,631254,550.3237506716821,3.1403408982275645
830375,476686,565.7606579715787,-4.657357929446639
1512444,253486,1066.8186215235792,-3.158581396795044
613512,355748,512.1135225375626,-1.8569142119252289
963809,643030,572.333135391924,-3.5443612405891614
925668,348882,512.429893238434,-10.540355514675143
1137854,351204,895.948031496063,5.717146044746785
597801,389977,503.7446731672084,-1.569605633511097
975633,400851,502.9776844896156,-6.3914944540199
1067857,366705,618.9450194584748,-2.408415646000639
633262,459102,556.6089904570567,-2.224128321842056
733722,415189,561.6856955380578,-4.236342329931661
711478,326025,557.7095184770436,-3.8746471679820607
495704,381921,606.418734708144,-4.750210598587368
885094,265563,593.7950929653056,-6.781500107892037
71801,145191,316.7025834908633,5.075106812714118
363305,304112,300.53592531316474,2.120500384142688
679743,304725,548.7488178987429,-4.967820609470463
812259,209979,733.1802707930367,-6.104822786903092
735536,125716,621.6797874909442,-4.923398989390547
611447,220286,527.6293145956607,-10.043449392754685
407822,229242,399.93751751190814,-3.184646271800605
571385,244366,525.3079852902548,-4.401375030394418
518253,238111,409.963950728896,-2.27588461585731
514189,273105,554.8517034068137,-2.095789615857312
592782,230847,483.1149144254279,-5.070659910758246
359722,210921,436.0266666666666,-3.240157812831306
484238,187910,330.34460578890946,-5.866440518539308
593479,133767,550.3183203073256,-5.1994916774235564
553546,155049,523.2003780718336,-10.819719543363687
311754,263558,287.25523232855073,-1.1447986849334453
374278,201683,425.3849650917357,-2.961138322612317
333478,171459,307.5959942021347,-2.164303227320288
495805,155898,346.9594121763471,-9.801505595458025
412186,188945,453.87792984112,-4.615763427245598
414286,138668,423.3579562043796,2.9136359051291074
473534,128889,364.0169119262025,-6.4271805280405845
479453,123033,396.3357345299953,-7.142036091449268
413229,172740,373.14280185758525,-8.601621776264551
309036,158324,413.6237093690249,-6.6117891329945655
395963,128647,614.1681808109905,-3.467320330143025
63561,37743,419.7424528301887,2.2373115554532133
143728,77670,232.35473441108545,0.0106781035285365
352995,106525,1076.673202614379,-6.184740584237145
268195,197045,340.0407534866872,-2.8523218170339866
412257,86485,427.3358507330077,-8.017534955872595
349938,111946,388.265335235378,-5.937008963625536
341577,117610,357.9935619104656,-8.701826819834366
286925,117419,289.82323232323233,-2.956464078095789
371025,70381,320.6388888888889,-12.110796025094952
274790,109037,402.5805776475513,-1.7523316021224666
188122,123444,369.902808988764,0.4338156630286191
301639,89636,326.0962162162162,-1.636819007026037
261404,110478,302.80125765348333,-4.38657777716679
292366,75284,326.3533726678361,-7.588930436618982
241144,124651,286.24860098355094,-2.059566462969248
272554,111735,237.62336530078463,-6.775692929326984
240741,132743,355.07522123893807,2.342491098428403
287127,90906,395.6474409448819,-5.564076978152598
263102,87273,306.4925944416708,-2.861170853587069
273358,92080,300.2520006276479,-2.1095312744796617
169030,110510,284.0840336134454,-0.0183471158573108
66821,59400,115.1518956179222,5.884220026999829
170712,84901,260.79965080750765,-5.494687300924492
279084,74207,350.92293874618287,-0.105306130140732
262489,63317,394.2121862261317,-4.639893055341678
144351,121338,235.8676470588236,-3.6012683318493086
187360,79611,268.8091822094692,-2.860455579477982
160614,96568,207.01491438040875,-3.803085824001968
229326,63089,307.5252873563219,-4.227126445865369
198258,78856,258.4850065189048,-6.881627580388648
265637,35101,307.5010749131801,-8.670229181824745
184506,56069,229.0780418588152,-3.699708135979949
202133,52147,242.73992108423403,-5.568718018870428
188757,58924,201.3868312757201,-5.331659344043613
216084,34887,263.74681778552747,-4.653028618562791
93135,77639,328.601310483871,-0.0928556768340984
152974,38765,1129.5548523206753,-6.651993781042039
171875,52494,307.62592687292255,0.3231121698569755
208248,28056,278.8324407039021,-7.163946931438525
133713,60181,191.80143442622952,-1.8513756916127857
145986,52791,248.81957633308983,3.907333598428405
142570,64794,228.4252689402609,-3.687073411155478
162570,56314,211.4829957257016,-5.156923679440553
198784,17634,281.05190870531203,-7.415122198679634
86075,53648,337.54901960784315,-0.4052214166630928
180840,27680,240.9822958309537,-2.8113189015715974
114653,56556,143.7268982808023,-3.773290221397645
109783,39340,478.80436137071655,-12.73545491797077
117635,34201,206.68800200803213,-9.189935617383671
100751,58076,122.05901696088613,-5.669477163260249
143030,32081,159.96325291580126,-6.712886981327373
101948,50742,166.6984349451063,-0.3803247987539159
115028,46562,176.77189901207467,-2.774443380116661
100240,44812,203.5625181317088,-3.3231224092475435
81269,37155,235.95313148071332,-3.325928816729373
95306,41683,156.20276281901195,-4.452797012808572
121557,34421,499.3538732394366,-6.018088555716384
79102,36979,179.54409857328145,1.7532310356856016
117426,21374,153.0407745298827,-7.03467723815412
66565,47644,199.1260683760684,-2.096109512808573
107775,17132,174.55460434983803,-14.247875173000752
65322,33270,162.03189227498223,-0.6914735877477265
67148,27133,115.0920666013712,-3.980103477906373
52221,18510,96.24723538704582,-1.871917261177949
75348,31469,187.9672131147541,-9.764615655651951
48437,23369,91.24300322927878,-3.192054103999048
75749,22059,145.43143170597915,-3.328326295520939
26606,12011,144.7101787101787,-8.336992102222741
65884,23601,164.8277340957827,5.828804830207669
