Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
5872,신밧드. 일곱 폭풍의 해적,,25000,0,25000,5,5,1,1,러시아,러시아,,,,애니메이션,블라드 바르베,
5872,아폴로 13,1995-08-05 00:00:00,10000,0,10000,5,5,1,1,미국,미국,"이메이진엔터테인먼트,유니버셜 픽쳐스",,중학생이상관람가,드라마,론 하워드,"빌 팩스톤,톰 행크스,케빈 베이컨"
5872,어플릭션,,25000,0,25000,5,5,1,1,네덜란드,네덜란드,,,,다큐멘터리,,
5872,여린여동생,2020-05-01 00:00:00,6000,0,6000,5,5,4,5,한국,한국,영화사 산들바람,(주)액티버스엔터테인먼트,청소년관람불가,성인물(에로),리차드 킴,
5872,오렌지필름 기획전 – MIX TAPE VOL.4,,34000,0,34000,5,5,1,1,한국,한국,,,,기타,,
5872,와호장룡 무림강호,2019-12-05 00:00:00,5000,0,5000,5,5,5,5,중국,중국,,(유)조이앤시네마,15세이상관람가,기타,서초,
5872,전망 좋은 집: 맛있는 섹스,2019-10-01 00:00:00,5000,0,5000,5,5,5,5,태국,태국,,(주)케이알씨지,청소년관람불가,멜로/로맨스,,
5872,제20회 부산독립영화제 - 지역독립영화초청,,28000,0,28000,5,5,1,1,한국,한국,,,,기타,,
5872,제빵사의 아내,,23000,0,23000,5,5,1,1,프랑스,프랑스,,,,"코미디,드라마",마르셀 파뇰,
5872,타임스케이프,,25000,0,25000,5,5,1,1,싱가포르,싱가포르,,,,애니메이션,,
5872,타지마할 호텔로의 귀환,,25000,0,25000,5,5,1,1,네덜란드,네덜란드,,,,다큐멘터리,,
5872,포르투나,,35000,0,35000,5,5,1,1,이탈리아,이탈리아,,,,드라마,세르지오 카스텔리토,"야스민 트린카,스테파노 아코르시"
5872,프로젝트 패기,,25000,0,25000,5,5,1,1,한국,한국,,,15세이상관람가,"드라마,코미디",이근우,"강신철,이수인,공효진"
