w1_au,w2_au,w1_av_sc,slope
2364698,2703248,1062.7173857216228,0.092266553994413
3312940,3293441,1560.2893090224047,-0.1092547850532011
5005375,3713108,1735.7388784305954,-0.1381779758051194
3201537,2814863,1154.8961092501931,-0.1786405952252639
6053085,1993031,2527.9872919276886,-0.1589169734147976
1829356,1819104,984.9620798400122,0.0081492305446982
2996258,1901895,1409.340545625588,-0.0562559601083468
3544785,1375129,1559.714312653215,0.0185941403771204
1098259,973735,810.6087094053142,-0.0233716256185853
2224264,1563042,1208.088764742396,-0.0825089639157478
2367281,1432559,1179.5961702733484,0.0423844658107572
2096195,1117024,1348.4070023892664,0.0264606098263208
1830021,1035298,1047.6933834955423,-0.0873209929542084
2014779,1085799,868.599679743795,-0.0044488996258213
2136508,764918,1390.1799591002043,-0.1766642162205787
914503,972246,546.4379854886896,-0.1187118470229105
989649,911420,678.2399647542588,0.0278543359802161
967483,835851,819.0084653525215,-0.0181631410037211
1680147,693022,1092.321816662023,-0.1262533286322523
2226799,441319,1100.8964616145208,-0.0933958675539343
1686770,649769,1025.7484145599865,-0.0097546344167648
1953256,621702,1003.7286742034944,-0.1480255309009341
992433,700583,802.3828828828829,-0.1027210389190459
774293,471642,693.8109318996416,0.0236325384840792
1223804,574434,493.6115240564679,-0.1360562192661116
1549239,397309,963.0293046798686,-0.1811944134574247
1063664,471765,644.1986502855166,-0.1659088814272167
905472,435865,740.1966600490483,-0.1137206293145789
585230,631254,550.3237506716821,0.1601981283122266
830375,476686,565.7606579715787,-0.1421238243551253
1512444,253486,1066.8186215235792,-0.0654193450445485
613512,355748,512.1135225375626,-0.1061589446001492
963809,643030,572.333135391924,-0.1052032061324238
925668,348882,512.429893238434,-0.123872985660226
1137854,351204,895.948031496063,0.0927549842916774
597801,389977,503.7446731672084,-0.0632774952883612
975633,400851,502.9776844896156,-0.1718411594823897
1067857,366705,618.9450194584748,-0.0947476695230561
633262,459102,556.6089904570567,-0.0687137801132061
733722,415189,561.6856955380578,-0.1327228553388172
711478,326025,557.7095184770436,-0.1064402099873924
495704,381921,606.418734708144,-0.1506375044939475
885094,265563,593.7950929653056,-0.14093259089008
71801,145191,316.7025834908633,0.1389838792764675
363305,304112,300.53592531316474,0.0395264745622917
679743,304725,548.7488178987429,-0.1171671002682927
812259,209979,733.1802707930367,-0.1472668312879357
735536,125716,621.6797874909442,-0.0895993957561126
611447,220286,527.6293145956607,-0.1659926121099055
407822,229242,399.93751751190814,-0.0955836720692878
571385,244366,525.3079852902548,-0.1202093127211752
518253,238111,409.963950728896,-0.0494112163613841
514189,273105,554.8517034068137,-0.0393028000832751
592782,230847,483.1149144254279,-0.1220415082260975
359722,210921,436.0266666666666,-0.1098641011109311
484238,187910,330.34460578890946,-0.1573182634113217
593479,133767,550.3183203073256,-0.1041616377537822
553546,155049,523.2003780718336,-0.1571181453561118
311754,263558,287.25523232855073,-0.0439072548281906
374278,201683,425.3849650917357,-0.0827791680931913
333478,171459,307.5959942021347,-0.0791832266382626
495805,155898,346.9594121763471,-0.1726193998532964
412186,188945,453.87792984112,-0.1359884482629825
414286,138668,423.3579562043796,0.0543893875007879
473534,128889,364.0169119262025,-0.1440010819084266
479453,123033,396.3357345299953,-0.1642706116128124
413229,172740,373.14280185758525,-0.1568554475065424
309036,158324,413.6237093690249,-0.156229326763337
395963,128647,614.1681808109905,-0.0514303850906753
63561,37743,419.7424528301887,0.0581249819492923
143728,77670,232.35473441108545,0.0003702303924562
352995,106525,1076.673202614379,-0.1322577045052294
268195,197045,340.0407534866872,-0.085844270331811
412257,86485,427.3358507330077,-0.1631557046224621
349938,111946,388.265335235378,-0.1425278150551477
341577,117610,357.9935619104656,-0.1608705376779416
286925,117419,289.82323232323233,-0.0827779016042781
371025,70381,320.6388888888889,-0.1798024536391797
274790,109037,402.5805776475513,-0.0551747234358355
188122,123444,369.902808988764,0.0110314203282275
301639,89636,326.0962162162162,-0.0609495530275275
261404,110478,302.80125765348333,-0.1236856682295962
292366,75284,326.3533726678361,-0.1846250254623569
241144,124651,286.24860098355094,-0.1092364232163133
272554,111735,237.62336530078463,-0.1388918187315458
240741,132743,355.07522123893807,0.0368376849235917
287127,90906,395.6474409448819,-0.1492306568244616
263102,87273,306.4925944416708,-0.1429031615093046
273358,92080,300.2520006276479,-0.0848238959980628
169030,110510,284.0840336134454,-0.0003358970291484
66821,59400,115.1518956179222,0.1311582019481046
170712,84901,260.79965080750765,-0.1563209402016183
279084,74207,350.92293874618287,-0.0023635310674286
