Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
13.0,모비우스,2022-03-30,4662620390.0,0.017,4662620390.0,474560.0,475928.0,1696.0,71151.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,어드벤처,드라마",다니엘 에스피노사,"자레드 레토,맷 스미스,아드리아 아르호나,자레드 해리스,타이레스 깁슨"
14.0,특송,2022-01-12,4172193200.0,0.015,4183274200.0,443177.0,444438.0,996.0,48006.0,한국,한국,(주)엠픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",박대민,"박소담,송새벽,김의성,정현준,연우진,염혜란,한현민,허동원,오륭,조희봉,백도겸,권혁범,김예은,윤대열,박신운,유지수,강준규,박인수,양희명,박대원,신수오,김한수,차시원,김현민,정승현,유수정,김그림,한규원,안재현,이가경,강민지,신영훈,황원규,김수로,문성복,김기정,오세환,원진호,고영수,전석호,최덕문,유승호,박혜영"
16.0,니 부모 얼굴이 보고 싶다,2022-04-27,3882143780.0,0.0139999999999999,3882143780.0,403701.0,416523.0,1008.0,39119.0,한국,한국,"(주)더타워픽쳐스,이십세기폭스 인터내셔널 프로덕션,(주)리버픽쳐스",(주)마인드마크,15세이상관람가,드라마,김지훈,"설경구,오달수,천우희,문소리,고창석,김홍파,강신일,남기애,이미은,이지은,성유빈,유재상,정유안,정택현,박진우,노정의,전국향,박명신,정승길,손산,이승훈,윤경호,윤돈선,노진영,정도원,허인영,최희진,김재건,이나라,성열석,송광원,안승미,홍산,권귀빈,정병호,심훈기,김영,최정환,고용화,정미혜,이두열,한서윤,김건우,권수진,주동희,배유리,김세정,이상호,조전범,김정일,김윤식,안문주,이지훈,이주한,이다솔,이현일,이연우,백명재,임원선,박광진,홍은진,김영원,추국현,도윤섭,한기현,최선자,이봉규,김성오"
17.0,뜨거운 피,2022-03-23,3739156970.0,0.0139999999999999,3739156970.0,390925.0,398090.0,1279.0,53929.0,한국,한국,주식회사 고래픽처스,"(주)스튜디오디에이치엘,(주)키다리스튜디오",15세이상관람가,"범죄,드라마",천명관,"정우,김갑수,최무성,지승현,김해곤,윤지혜,이홍내,정호빈,김종구,이영석,차순배,허동원,이호철,이성우,배명진,정기섭,김강일,성낙경,현봉식,유순웅,최홍일,백수희,허지원,양희명,정영록,윤대열,윤탁,최광제,양지수,서정우,신미영,김우진,박지홍,김승현,김주희,김진혁,유현,최범호,서광재,이해성,전병덕,박상규,김흥태,이신영,이선주,박지원,김태현,천영암,이병수,유인혜,주재윤,남윤주,이익수,오지영,임유란,김리원,한희경,이은주,김탁,허성우,이경훈,김보경,조셉,박진수,김준섭,고남호,박영준,양영일,김지한,강은지,김시혜,서유림,임소현,안지훈,김병남,박세정,송태완,왕나경,황정윤,김영건,이다혜,이일현,정규연,고진우,김혜지,김정준,장현아,김다슬,최필규,김범준,김태균,서준영,진혁,왕경빈,서영수,장명진,한대훈,황진호,박원우,윤제문,정영주,김단비,김현"
18.0,배드 가이즈,2022-05-04,3618061250.0,0.013,3618061250.0,380513.0,400329.0,844.0,22182.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,범죄,액션",피에르 페리펠,"샘 록웰,크레이그 로빈슨,안소니 라모스,아콰피나,재지 비츠"
19.0,수퍼 소닉2,2022-04-06,2811058210.0,0.01,2811058210.0,308768.0,315288.0,1129.0,27056.0,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"애니메이션,액션,어드벤처,코미디,가족,판타지,SF",제프 파울러,"제임스 마스던,짐 캐리,벤 슈왈츠,이드리스 엘바,티카 섬터"
20.0,나일 강의 죽음,2022-02-09,2242081480.0,0.008,2242081480.0,232883.0,232883.0,1041.0,34168.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"범죄,드라마,미스터리",케네스 브래너,"케네스 브래너,갤 가돗,아미 해머,에마 매키"
21.0,문폴,2022-03-16,1962767300.0,0.00699999999999999,1962767300.0,195344.0,195344.0,1174.0,32497.0,미국,미국,,(주)누리픽쳐스,12세이상관람가,"액션,드라마,스릴러,SF,어드벤처",롤랜드 에머리히,"할리 베리,패트릭 윌슨,존 브래들리,마이클 페나,도날드 서덜랜드"
22.0,앵커,2022-04-20,1629168610.0,0.006,1629168610.0,166812.0,171255.0,1032.0,26612.0,한국,한국,"(주)인사이트필름,(주)어바웃잇,(주)디씨지플러스",(주)에이스메이커무비웍스,15세이상관람가,스릴러,정지연,"천우희,이혜영,신하균,차래형,박지현,남문철,임성재,김영필,이해운,정순원,박세현,서이수,김영아,박새힘,서지승,성찬호,정찬훈,마정필,김경민,김성준,김대흥,전세용,목규리,차준명,김세희,양은솔,유수정,이채린,한사명,신희철,강성락,이민하,김정환,신현규,김주연,문성현,김지아,도예림,송화현,오수민,김유현,이지,이미래,박장면,장우영,박정원,장유화,문혜인,양말복,김철윤,박세훈,안세원,박경찬,안민영,김태원,배단희,김지유,이윤재,홍나실,이동원,장준현,김수현,남지현,이대겸,박시현,김형석,한상조"
23.0,공기살인,2022-04-22,1462885250.0,0.005,1462885250.0,156299.0,158265.0,756.0,20611.0,한국,한국,"(주)마스터원엔터테인먼트,TCO(주)더콘텐츠온","TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",12세이상관람가,드라마,조용선,"서윤,김상경,이선빈,윤경호,서영희,장혁진,김정태,송영규,이지훈,이유준,정호빈,장광,성병숙,정의갑,김영웅,조서후,차정환,김하언,황만익,장해송,이정민,조수하,심완준,홍도성,이용준,이필라,이재환,이지현,우가은,정시율,박노아,남명렬,김동용,신삼봉,유지수,유병선,김현지,조유진,이미라,이가경,김형준,이효제,김민광,이지인,배유리,이상구,임정운,김경식,이시우,김서원,이대한,최성아,진선미,강태우,윤정열,노정현,곽민석"
