Unnamed: 0,1,2,3,4,5,6,7,slope
서울의 봄,55.50419,73.67073,79.25816,71.19690682872215,91.71449075599529,88.93493,72.35861,0.09226655399441301
파묘,67.49954,82.78116,75.60018635864003,84.74670131624185,78.13019,54.66054,51.43671,-0.10925478505320116
범죄도시4,100.0,84.14176,70.42814,31.6227952530688,46.6069551919917,50.76426,42.00864,-0.1381779758051194
아바타: 물의 길,84.31055,82.30668,81.87475,75.60018635864003,68.31440624890186,57.97047,53.22427,-0.17864059522526396
범죄도시3,95.40589,93.4583,83.45108,75.60018635864003,87.46481854289252,75.90528,73.95812,-0.15891697341479766
탑건: 매버릭,47.76435,70.3333,80.55213,75.60018635864003,79.66012499152771,63.51917,55.09826,0.008149230544698278
한산: 용의 출현,76.60501,75.02815,81.71676,75.60018635864003,87.97365624275224,73.24882,62.14314,-0.05625596010834688
공조2: 인터내셔날,44.95568,61.63098,85.55714,69.80965663818212,91.71449075599529,80.01477,39.67805,0.01859414037712045
스즈메의 문단속,66.4819,66.54868,65.67709,75.41024995205873,91.71449075599529,62.07442,52.15665,-0.023371625618585364
밀수,69.10096,78.07228,77.95637,75.60018635864003,73.35593298701151,72.55591,61.71737,-0.08250896391574784
노량: 죽음의 바다,44.5216,64.09829,67.6314,45.05350078606048,91.71449075599529,82.11739,43.53888,0.042384465810757235
헌트,54.15481,61.53569,60.67855,31.249545948766038,91.71449075599529,80.4856,46.10899,0.026460609826320845
가디언즈 오브 갤럭시: Volume 3,43.59502,71.45174,100.0,20.12998677768481,19.0231849847326,35.27559,28.70895,-0.08732099295420846
미션 임파서블: 데드 레코닝 PART ONE,29.84272,52.62221,66.76301,75.60018635864003,73.72313950107835,40.91445,33.42786,-0.004448899625821361
콘크리트 유토피아,86.39892,89.60977,88.56044,75.60018635864003,73.8365819557183,75.19782,72.18696,-0.17666421622057873
웡카,75.76745,83.01571,77.02068,75.60018635864003,80.35600359856147,65.10069,49.8299,-0.11871184702291056
올빼미,54.58623,57.09637,74.73146,75.60018635864003,83.52080253657721,58.07248,58.52794,0.02785433598021619
영웅,62.48215,72.18808,74.57641,75.60018635864003,84.4542391380893,68.39014,57.08114,-0.018163141003721118
오펜하이머,100.0,75.96485,47.88505,47.40836,-13.49311037384696,5.9108087255624895,33.42584,-0.1262533286322523
쥬라기 월드: 도미니언,100.0,63.81119,65.50343,43.3177457205431,78.64354636590073,70.02542,33.57357,-0.0933958675539343
마녀(魔女) Part2. The Other One,38.00357,72.37239,80.6595,75.60018635864003,64.51673592000085,58.38886,48.82331,-0.009754634416764845
토르: 러브 앤 썬더,73.45729,77.01659,76.66532,75.60018635864003,76.00490433654831,52.58151,43.07567,-0.1480255309009341
미니언즈2,74.10996,76.86327,78.85553,75.60018635864003,82.22585609837415,64.44669,58.92537,-0.10272103891904594
30일,74.38101,63.85742,53.65199,61.51196,21.522756558941403,91.71449075599529,82.00159,0.023632538484079296
블랙 팬서: 와칸다 포에버,67.71521,67.33734,69.37357,75.60018635864003,60.14890676063677,45.96353,40.6221,-0.1360562192661116
비상선언,96.52671,100.0,88.14752,57.52842149339115,48.45786787650593,50.8776,38.50106,-0.18119441345742476
그대들은 어떻게 살 것인가,100.0,95.10975,84.78338,70.57248490385092,68.98689246521694,59.32027,46.89871,-0.16590888142721677
듄: 파트2,59.47599,85.27287,100.0,42.342465283898406,26.411841020271417,41.04356,35.38566,-0.11372062931457898
육사오(6/45),56.80107,55.99733,73.58426,75.60018635864003,73.18195515037179,72.09362,75.51416,0.16019812831222666
존 윅 4,73.86113,79.36647,74.84138,75.60018635864003,72.09637797549412,56.43253,46.59675,-0.14212382435512533
천박사 퇴마 연구소: 설경의 비밀,54.39489,90.56454,100.0,67.62462771698328,58.54940088973875,71.08514,51.71793,-0.06541934504454851
헤어질 결심,79.77385,87.34505,84.86067,75.60018635864003,80.3713420660936,78.47386,69.85322,-0.10615894460014921
분노의 질주: 라이드 오어 다이,61.46216,72.08416,79.75611,75.60018635864003,65.52794526350348,52.67219,46.06549,-0.1052032061324238
쿵푸팬더4,100.0,53.17659,54.00778,14.90997445087406,18.89119558909597,33.73411,26.29053,-0.123872985660226
교섭,53.00934,63.45611,69.57795,38.3629236918564,86.81326925291,100.0,76.26167,0.09275498429167747
시민덕희,58.87173,66.0944,75.01622,75.60018635864003,71.66572226168927,57.91016,50.79507,-0.06327749528836125
앤트맨과 와스프: 퀀텀매니아,80.9493,74.78395,74.79541,75.60018635864003,58.5805852874428,49.20174,43.7551,-0.17184115948238973
외계+인 1부,64.67847,76.30586,79.56502,75.60018635864003,74.78141191198209,60.77891,54.14576,-0.09474766952305612
잠,58.31183,75.25955,80.952,75.60018635864003,75.96340698842243,61.20781,48.58399,-0.0687137801132061
외계+인 2부,66.13864,78.88549,78.24014,75.60018635864003,72.48617476191349,51.21147,46.96678,-0.13272285533881728
위시,61.58326,79.69105,84.58378,75.60018635864003,68.73307929650232,53.47371,48.18168,-0.10644020998739248
달짝지근해: 7510,92.27279,93.94674,79.54944,80.86524,75.60018635864003,74.20856844045684,62.41269,-0.15063750449394755
브로커,82.93962,91.5122,82.62876,75.60018635864003,76.06540697902297,59.17213,43.39345,-0.14093259089008
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",58.5841,66.39518,72.65825,55.19869598084237,91.71449075599529,80.20903,90.39045,0.13898387927646758
인생은 아름다워,63.41105,72.53871,68.808,42.39770284835212,91.71449075599529,96.0453,59.89583,0.039526474562291795
