Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
260.0,스파이 코드명 포춘,2023-08-30,437453701.0,0.0,437453701.0,47004.0,47004.0,477.0,6623.0,미국,미국,,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹",15세이상관람가,액션,가이 리치,"제이슨 스타뎀,휴 그랜트,조쉬 하트넷,캐리 엘위스,오브리 플라자"
261.0,도그맨,2024-01-24,435005149.0,0.0,435005149.0,46705.0,46705.0,496.0,7339.0,프랑스,프랑스,,(주)레드아이스 엔터테인먼트,15세이상관람가,드라마,뤽 베송,"케일럽 랜드리 존스,조조 T. 깁스"
262.0,로봇 드림,2024-03-13,448383108.0,0.0,448383108.0,45915.0,45915.0,114.0,3373.0,스페인,"스페인,프랑스",,"(주)영화사 진진,(주)하이스트레인저",전체관람가,애니메이션,파블로 베르헤르,
263.0,악은 존재하지 않는다,2024-03-27,445460550.0,0.0,445460550.0,45271.0,45271.0,149.0,3458.0,일본,일본,,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",12세이상관람가,드라마,하마구치 류스케,"오미카 히토시,니시카와 료,코사카 류지,시부타니 아야카"
264.0,랜드 오브 배드,2024-03-13,382151629.0,0.0,382151629.0,44642.0,44642.0,394.0,6774.0,미국,미국,,메가박스중앙(주),15세이상관람가,"액션,전쟁",윌리엄 유뱅크,"러셀 크로우,리암 헴스워스,루크 헴스워스,마일로 벤티밀리아"
265.0,더 와일드: 야수들의 전쟁,2023-11-15,384063300.0,0.0,384063300.0,44540.0,44540.0,239.0,5458.0,한국,한국,"(주)아센디오,(주)제이앤씨미디어그룹","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오",청소년관람불가,"액션,범죄",김봉한,"박성웅,오대환,오달수,주석태,서지혜,강현아,라윤"
266.0,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,385466305.0,0.0,385466305.0,43509.0,43509.0,78.0,2085.0,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,니시키오리 히로시,"오노 켄쇼,하타노 와타루,호시 소이치로"
267.0,1980,2024-03-27,383991575.0,0.0,383991575.0,43224.0,43224.0,521.0,5748.0,한국,한국,"히스토리 디앤피,(주)디에이치미디어,굿픽처스","(주)제이앤씨미디어그룹,와이드 릴리즈(주)",12세이상관람가,드라마,강승용,"강신일,김규리,백성현,한수연,박준혁,전수진,이정우,윤정로,이달형,박노식,나종민,황인무"
268.0,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,1017054000.0,0.0,1017054000.0,42384.0,42384.0,72.0,1578.0,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),전체관람가,"공연,다큐멘터리",송승연,
269.0,귀못,2022-10-19,358073700.0,0.0,358073700.0,42342.0,42342.0,208.0,4441.0,한국,한국,"KBS,(주)아센디오",와이드 릴리즈(주),15세이상관람가,공포(호러),탁세웅,"박하나,허진,정영주,오은서,김주은,전영,구본웅,하시연,이광훈,조영미,박종현,사민경,차은재"
271.0,애프터 양,2022-06-01,398366300.0,0.0,407868300.0,41184.0,42147.0,161.0,3368.0,미국,미국,,"(주)영화특별시에스엠씨,주식회사 왓챠",전체관람가,"드라마,SF",코고나다,콜린 파렐
